time	V(out)
	3.768477e-006	1.212225e+001
	3.778973e-006	1.212329e+001
	3.799966e-006	1.212504e+001
	3.815577e-006	1.212619e+001
	3.831188e-006	1.212724e+001
	3.846798e-006	1.212818e+001
	3.862409e-006	1.212901e+001
	3.878020e-006	1.212974e+001
	3.893631e-006	1.213036e+001
	3.909242e-006	1.213087e+001
	3.951836e-006	1.213196e+001
	3.953053e-006	1.213198e+001
	3.955487e-006	1.213202e+001
	3.960356e-006	1.213211e+001
	3.965356e-006	1.213219e+001
	3.970356e-006	1.213226e+001
	3.972322e-006	1.213228e+001
	3.973651e-006	1.213230e+001
	3.974574e-006	1.213231e+001
	3.975344e-006	1.213231e+001
	3.976124e-006	1.213231e+001
	3.976984e-006	1.213231e+001
	3.977943e-006	1.213229e+001
	3.978858e-006	1.213226e+001
	3.979830e-006	1.213218e+001
	3.980782e-006	1.213206e+001
	3.981772e-006	1.213183e+001
	3.982760e-006	1.213144e+001
	3.983584e-006	1.213098e+001
	3.983962e-006	1.213069e+001
	3.984190e-006	1.213049e+001
	3.984351e-006	1.213033e+001
	3.984519e-006	1.213015e+001
	3.984736e-006	1.212990e+001
	3.985015e-006	1.212957e+001
	3.985297e-006	1.212922e+001
	3.985646e-006	1.212879e+001
	3.986002e-006	1.212837e+001
	3.986412e-006	1.212790e+001
	3.986850e-006	1.212742e+001
	3.987342e-006	1.212689e+001
	3.987860e-006	1.212635e+001
	3.988557e-006	1.212562e+001
	3.989374e-006	1.212478e+001
	3.990225e-006	1.212392e+001
	3.991121e-006	1.212303e+001
	3.992066e-006	1.212210e+001
	3.993093e-006	1.212111e+001
	3.994194e-006	1.212008e+001
	3.995424e-006	1.211894e+001
	3.996794e-006	1.211770e+001
	3.998409e-006	1.211627e+001
	4.000371e-006	1.211457e+001
	4.002252e-006	1.211298e+001
	4.004253e-006	1.211133e+001
	4.008257e-006	1.210815e+001
	4.016264e-006	1.210203e+001
	4.024397e-006	1.209611e+001
	4.035546e-006	1.208841e+001
	4.047938e-006	1.208033e+001
	4.068046e-006	1.206820e+001
	4.095597e-006	1.205318e+001
	4.131402e-006	1.203640e+001
	4.196333e-006	1.201268e+001
	4.326197e-006	1.198057e+001
	4.521302e-006	1.195471e+001
	4.911511e-006	1.193174e+001
	5.009063e-006	1.192923e+001
	5.134549e-006	1.192789e+001
	5.165921e-006	1.192757e+001
	5.257186e-006	1.192674e+001
	5.261050e-006	1.192671e+001
	5.262990e-006	1.192669e+001
	5.264647e-006	1.192668e+001
	5.266857e-006	1.192667e+001
	5.268556e-006	1.192667e+001
	5.270041e-006	1.192669e+001
	5.271414e-006	1.192673e+001
	5.272874e-006	1.192681e+001
	5.274201e-006	1.192696e+001
	5.275644e-006	1.192723e+001
	5.276533e-006	1.192750e+001
	5.277283e-006	1.192780e+001
	5.277535e-006	1.192793e+001
	5.277654e-006	1.192799e+001
	5.277723e-006	1.192803e+001
	5.277793e-006	1.192807e+001
	5.277862e-006	1.192812e+001
	5.277931e-006	1.192816e+001
	5.278001e-006	1.192820e+001
	5.278070e-006	1.192825e+001
	5.278139e-006	1.192830e+001
	5.278437e-006	1.192850e+001
	5.278722e-006	1.192872e+001
	5.279292e-006	1.192918e+001
	5.280432e-006	1.193019e+001
	5.281968e-006	1.193163e+001
	5.285040e-006	1.193464e+001
	5.288224e-006	1.193777e+001
	5.291545e-006	1.194102e+001
	5.294945e-006	1.194429e+001
	5.298188e-006	1.194738e+001
	5.301133e-006	1.195014e+001
	5.303646e-006	1.195246e+001
	5.306075e-006	1.195469e+001
	5.308509e-006	1.195689e+001
	5.311243e-006	1.195933e+001
	5.314986e-006	1.196262e+001
	5.319325e-006	1.196637e+001
	5.324711e-006	1.197092e+001
	5.330846e-006	1.197596e+001
	5.338502e-006	1.198206e+001
	5.346525e-006	1.198824e+001
	5.354311e-006	1.199403e+001
	5.361919e-006	1.199949e+001
	5.369531e-006	1.200476e+001
	5.377181e-006	1.200988e+001
	5.384848e-006	1.201482e+001
	5.392508e-006	1.201959e+001
	5.400165e-006	1.202420e+001
	5.407821e-006	1.202864e+001
	5.415481e-006	1.203292e+001
	5.423141e-006	1.203705e+001
	5.453244e-006	1.205188e+001
	5.464180e-006	1.205674e+001
	5.475116e-006	1.206137e+001
	5.486052e-006	1.206576e+001
	5.496987e-006	1.206993e+001
	5.507923e-006	1.207387e+001
	5.518859e-006	1.207758e+001
	5.529795e-006	1.208106e+001
	5.566288e-006	1.209139e+001
	5.622111e-006	1.210359e+001
	5.720663e-006	1.211838e+001
	5.828060e-006	1.212914e+001
	5.829318e-006	1.212921e+001
	5.854490e-006	1.213038e+001
	5.881339e-006	1.213143e+001
	5.883472e-006	1.213150e+001
	5.926841e-006	1.213261e+001
	5.927545e-006	1.213262e+001
	5.928954e-006	1.213265e+001
	5.931772e-006	1.213270e+001
	5.936772e-006	1.213278e+001
	5.941772e-006	1.213286e+001
	5.946772e-006	1.213293e+001
	5.948733e-006	1.213295e+001
	5.950061e-006	1.213297e+001
	5.950929e-006	1.213297e+001
	5.951725e-006	1.213297e+001
	5.952584e-006	1.213297e+001
	5.953557e-006	1.213295e+001
	5.954464e-006	1.213292e+001
	5.955444e-006	1.213285e+001
	5.956392e-006	1.213272e+001
	5.957386e-006	1.213249e+001
	5.958372e-006	1.213211e+001
	5.959197e-006	1.213164e+001
	5.959576e-006	1.213136e+001
	5.959804e-006	1.213115e+001
	5.959965e-006	1.213099e+001
	5.960133e-006	1.213081e+001
	5.960350e-006	1.213056e+001
	5.960627e-006	1.213023e+001
	5.960909e-006	1.212988e+001
	5.961257e-006	1.212945e+001
	5.961612e-006	1.212903e+001
	5.962023e-006	1.212857e+001
	5.962462e-006	1.212809e+001
	5.962953e-006	1.212756e+001
	5.963471e-006	1.212701e+001
	5.964165e-006	1.212628e+001
	5.964984e-006	1.212544e+001
	5.965835e-006	1.212458e+001
	5.966729e-006	1.212369e+001
	5.967676e-006	1.212276e+001
	5.968701e-006	1.212177e+001
	5.969802e-006	1.212073e+001
	5.971031e-006	1.211959e+001
	5.972401e-006	1.211835e+001
	5.974013e-006	1.211693e+001
	5.975974e-006	1.211523e+001
	5.977858e-006	1.211363e+001
	5.979852e-006	1.211199e+001
	5.983839e-006	1.210881e+001
	5.991815e-006	1.210272e+001
	5.999950e-006	1.209678e+001
	6.011071e-006	1.208909e+001
	6.023452e-006	1.208101e+001
	6.043478e-006	1.206891e+001
	6.070956e-006	1.205389e+001
	6.106641e-006	1.203713e+001
	6.171324e-006	1.201342e+001
	6.300691e-006	1.198129e+001
	6.495317e-006	1.195534e+001
	6.884568e-006	1.193226e+001
	6.981881e-006	1.192974e+001
	7.110245e-006	1.192835e+001
	7.142336e-006	1.192803e+001
	7.230968e-006	1.192722e+001
	7.232814e-006	1.192720e+001
	7.236507e-006	1.192717e+001
	7.238292e-006	1.192717e+001
	7.240116e-006	1.192717e+001
	7.241606e-006	1.192718e+001
	7.242982e-006	1.192721e+001
	7.244457e-006	1.192728e+001
	7.245799e-006	1.192741e+001
	7.247202e-006	1.192765e+001
	7.248107e-006	1.192789e+001
	7.248867e-006	1.192817e+001
	7.249229e-006	1.192834e+001
	7.249399e-006	1.192842e+001
	7.249477e-006	1.192847e+001
	7.249856e-006	1.192870e+001
	7.250001e-006	1.192879e+001
	7.250146e-006	1.192890e+001
	7.250291e-006	1.192900e+001
	7.250436e-006	1.192911e+001
	7.250582e-006	1.192922e+001
	7.250727e-006	1.192933e+001
	7.250872e-006	1.192945e+001
	7.251658e-006	1.193012e+001
	7.253184e-006	1.193153e+001
	7.255849e-006	1.193410e+001
	7.258818e-006	1.193703e+001
	7.262179e-006	1.194033e+001
	7.265642e-006	1.194368e+001
	7.268939e-006	1.194683e+001
	7.271989e-006	1.194971e+001
	7.274682e-006	1.195221e+001
	7.277108e-006	1.195444e+001
	7.279542e-006	1.195665e+001
	7.282005e-006	1.195886e+001
	7.285520e-006	1.196197e+001
	7.289543e-006	1.196547e+001
	7.294685e-006	1.196985e+001
	7.300412e-006	1.197461e+001
	7.307639e-006	1.198043e+001
	7.315917e-006	1.198688e+001
	7.323637e-006	1.199269e+001
	7.331378e-006	1.199831e+001
	7.338872e-006	1.200356e+001
	7.346602e-006	1.200879e+001
	7.354196e-006	1.201375e+001
	7.361921e-006	1.201862e+001
	7.369526e-006	1.202324e+001
	7.377226e-006	1.202776e+001
	7.384848e-006	1.203208e+001
	7.392539e-006	1.203628e+001
	7.410227e-006	1.204536e+001
	7.421905e-006	1.205092e+001
	7.433584e-006	1.205621e+001
	7.445262e-006	1.206122e+001
	7.456940e-006	1.206596e+001
	7.468618e-006	1.207042e+001
	7.480296e-006	1.207461e+001
	7.491974e-006	1.207852e+001
	7.524832e-006	1.208841e+001
	7.572324e-006	1.209989e+001
	7.652911e-006	1.211522e+001
	7.671757e-006	1.211797e+001
	7.709447e-006	1.212229e+001
	7.720216e-006	1.212337e+001
	7.730985e-006	1.212438e+001
	7.741753e-006	1.212534e+001
	7.752522e-006	1.212622e+001
	7.763291e-006	1.212705e+001
	7.774059e-006	1.212781e+001
	7.784828e-006	1.212850e+001
	7.795473e-006	1.212913e+001
	7.806118e-006	1.212971e+001
	7.816763e-006	1.213024e+001
	7.827408e-006	1.213072e+001
	7.838053e-006	1.213115e+001
	7.848698e-006	1.213152e+001
	7.859343e-006	1.213185e+001
	7.902144e-006	1.213304e+001
	7.903482e-006	1.213307e+001
